Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Observations
MILLET;Pierre;H;21/05/1996;Algérienne;Carte de séjour pluriannuelle;09/09/2020;;CDI;Employé;Chargé(e) d’accueil;Temps plein;2812,40;A;
MONNIER;Mathilde;F;24/10/1971;Tunisienne;Carte de résident;20/04/1996;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;3405,06;B;
MOULIN;Maud;F;27/03/1988;Roumaine;;03/11/2014;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;2536,67;C;
MULLER;Mélanie;F;02/08/1963;Allemande;;14/06/1990;;CDI;Cadre;Contrôleur(se) des risques;Temps plein;6324,53;K;
NGUYEN;Nathalie;F;05/01/1980;Belge;;25/01/2008;;CDI;Cadre;Juriste bancaire;Temps plein;5392,02;H;
NICOLAS;Nora;F;08/06/1997;Sénégalaise;Carte de séjour pluriannuelle;08/08/2024;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3149,24;F;
NOIRET;Océane;F;11/11/1972;Ivoirienne;Carte de séjour pluriannuelle;19/03/2002;;CDI;TAM;Analyste crédit;Temps plein;4005,63;G;
OLLIVIER;Pauline;F;14/04/1989;Comorienne;Carte de résident;02/10/2011;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;2805,90;D;
PAGE;Sarah;F;17/09/1964;Française;;13/05/1988;;CDI;Employé;Chargé(e) d’accueil;Temps plein;3488,68;A;
PARIS;Thibault;H;20/02/1981;Française;;24/12/2005;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;3186,40;B;
PASQUIER;Thomas;H;23/07/1998;Française;;07/07/2023;;CDI;Employé;Conseiller(ère) clientèle professionnels;90 %;2694,20;C;
PAYET;Vincent;H;26/12/1973;Française;;18/02/1999;;CDI;Cadre;Auditeur(rice) interne;Temps plein;6415,80;K;
PELLETIER;Yann;H;01/05/1990;Française;;01/09/2017;;CDI;Cadre;Contrôleur(se) des risques;Temps plein;5437,60;H;
PERRIN;Alexandre;H;04/10/1965;Française;;12/04/1993;;CDI;TAM;Analyste crédit;Temps plein;4404,00;E;
PETIT;Antoine;H;07/03/1982;Française;;23/11/2011;;CDI;TAM;Superviseur(e) back-office;Temps plein;3739,00;F;
PHILIPPE;Zoé;F;10/08/1999;Française;;06/06/2024;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;2336,90;D;
PICHON;Alice;F;13/01/1974;Française;;17/01/1996;;CDI;Employé;Chargé(e) d’accueil;Temps plein;3160,06;A;
PIERRE;Amélie;F;16/06/1991;Française;;28/08/2014;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;2691,67;B;
PINEAU;Anaïs;F;19/11/1966;Française;;11/03/1990;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;3402,52;C;
POIRIER;Aurélie;F;22/04/1983;Française;;22/10/2008;;CDI;Cadre;Responsable conformité;Temps plein;5547,02;K;
PONS;Camille;F;25/09/2000;Française;;05/05/2024;;CDI;TAM;Analyste crédit;Temps plein;3304,24;F;
POTIER;Carole;F;28/02/1975;Française;;16/12/2002;;CDI;TAM;Superviseur(e) back-office;Temps plein;4160,63;G;
POULAIN;Céline;F;03/07/1992;Française;;27/07/2020;;CDI;Ouvrier;Agent de maintenance;Temps plein;2401,08;A;
PREVOST;Charlotte;F;06/12/1967;Française;;10/02/1996;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;3419,06;D;
RAMOS;Dylan;H;09/05/1984;Française;;21/09/2014;;CDI;Employé;Chargé(e) d’accueil;Temps plein;2676,80;A;
RAYNAUD;Emmanuel;H;12/10/2001;Française;;04/04/2023;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;2449,20;B;
REGNIER;Étienne;H;15/03/1976;Française;;15/11/1999;;CDI;Cadre;Chargé(e) d’affaires entreprises;Temps plein;6170,80;J;
REMY;Fabien;H;18/08/1993;Française;;26/06/2017;;CDD accroissement;Cadre;Ingénieur patrimonial;Temps plein;5192,60;K;
RENAUD;Florian;H;21/01/1968;Française;;09/01/1993;;CDI;TAM;Superviseur(e) back-office;Temps plein;4559,00;E;
REY;François;H;24/06/1985;Française;;20/08/2011;;CDI;TAM;Responsable d’unité;Temps plein;3894,00;F;
RIBEIRO;Estelle;F;27/11/2002;Portugaise;;03/03/2024;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;2491,90;C;
RICHARD;Fanny;F;02/04/1977;Espagnole;;14/10/2005;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;3062,37;D;
RIVIERE;Florence;F;05/09/1994;Italienne;;25/05/2023;;CDI;Employé;Chargé(e) d’accueil;Temps plein;2593,98;A;
ROBIN;Gaëlle;F;08/02/1969;Marocaine;Carte de séjour pluriannuelle;08/12/1999;;CDI;Employé;Conseiller(ère) clientèle particuliers;50 %;3304,83;B;
ROCHE;Hélène;F;11/07/1986;Algérienne;Carte de résident;19/07/2008;;CDI;Cadre;Directeur(rice) d’agence;Temps plein;5702,02;J;
RODRIGUEZ;Inès;F;14/12/2003;Tunisienne;Carte de séjour pluriannuelle;02/02/2024;;CDI;Cadre;Chargé(e) d’affaires entreprises;Temps plein;4477,22;K;
ROGER;Isabelle;F;17/05/1978;Roumaine;;13/09/2002;;CDI;TAM;Responsable d’unité;Temps plein;3915,63;G;
ROLLAND;Jeanne;F;20/10/1995;Allemande;;24/04/2020;;CDI;TAM;Chargé(e) d’études;Temps plein;3282,22;E;
ROUX;Laurent;H;23/03/1970;Belge;;07/11/1996;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;3324,00;C;
ROY;Loïc;H;26/08/1987;Sénégalaise;Carte de séjour pluriannuelle;18/06/2014;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;2831,80;D;
SANCHEZ;Lucas;H;01/01/1962;Ivoirienne;Carte de résident;01/01/1990;;CDI;Employé;Chargé(e) d’accueil;Temps plein;3574,40;A;
SCHNEIDER;Ludovic;H;04/06/1979;Comorienne;Carte de séjour pluriannuelle;12/08/2008;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;3082,20;B;
SEGUIN;Marc;H;07/11/1996;Française;;23/03/2024;;CDI;Cadre;Analyste financier(ère) senior;Temps plein;4952,80;J;
SIMON;Mathieu;H;10/04/1971;Française;;06/10/1993;;CDI;TAM;Responsable d’unité;Temps plein;4714,00;E;
SOUSA;Lucie;F;13/09/1988;Française;;17/05/2011;;CDI;TAM;Chargé(e) d’études;Temps plein;3876,42;F;
TANGUY;Manon;F;16/02/1963;Française;;28/12/1988;;CDI;Ouvrier;Agent logistique;Temps plein;2840,53;B;
TEIXEIRA;Margaux;F;19/07/1980;Française;;11/07/2005;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;2817,37;C;
TESTA;Marie;F;22/12/1997;Française;;22/02/2023;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;2348,98;D;
THOMAS;Marion;F;25/05/1972;Française;;05/09/1999;;CDI;Employé;Chargé(e) d’accueil;Temps plein;3059,83;A;
TISSOT;Mathilde;F;28/10/1989;Française;;16/04/2017;;CDI;Cadre;Juriste bancaire;Temps plein;4972,26;I;
TORRES;Maud;F;03/03/1964;Française;;27/11/1993;;CDI;Cadre;Responsable de projet;Temps plein;6301,95;J;
TOUSSAINT;Mélanie;F;06/08/1981;Française;;10/06/2011;;CDI;TAM;Chargé(e) d’études;Temps plein;3735,42;G;
TURPIN;Samuel;H;09/01/1998;Française;;21/01/2020;;CDI;TAM;Contrôleur(se) de premier niveau;Temps plein;3594,00;E;
VALLEE;Sébastien;H;12/06/1973;Française;;04/08/1996;;CDI;Employé;Assistant(e) commercial(e);Temps plein;3479,00;B;
VASSEUR;Stéphane;H;15/11/1990;Française;;15/03/2014;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;2986,80;C;
VERDIER;Théo;H;18/04/1965;Française;;26/10/1990;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;3729,40;D;
VERNET;Thibault;H;21/09/1982;Française;;09/05/2008;;CDI;Employé;Chargé(e) d’accueil;80 %;2837,20;A;
VEYRAT;Thomas;H;24/02/1999;Française;;20/12/2024;;CDI;Cadre;Contrôleur(se) des risques;Temps plein;4707,80;I;
VIALA;Stéphanie;F;27/07/1974;Française;;03/07/2002;;CDD accroissement;Cadre;Juriste bancaire;Temps plein;5713,19;J;
VINCENT;Sylvie;F;02/12/1991;Française;;14/02/2020;;CDI;TAM;Contrôleur(se) de premier niveau;Temps plein;3296,22;F;
VOISIN;Valérie;F;05/05/1966;Française;;25/09/1996;;CDI;TAM;Animateur(rice) commercial(e);Temps plein;4227,10;G;
WAGNER;Vanessa;F;08/10/1983;Française;;08/04/2005;;CDI;Employé;Assistant(e) commercial(e);Temps plein;2972,37;B;
XAVIER;Virginie;F;11/03/2000;Française;;19/11/2023;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;2503,98;C;
YVON;Zoé;F;14/08/1975;Française;;02/06/1999;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;3214,83;D;
ZANETTI;Alice;F;17/01/1992;Portugaise;;13/01/2017;;CDI;Employé;Chargé(e) d’accueil;Temps plein;2746,44;A;
ADAM;Amélie;F;20/06/1967;Espagnole;;24/08/1993;;CDI;Cadre;Auditeur(rice) interne;Temps plein;6456,95;I;
ALBERT;Cédric;H;23/11/1984;Italienne;;07/03/2011;;CDI;TAM;Contrôleur(se) de premier niveau;Temps plein;4063,00;G;
ANDRE;Christophe;H;26/04/2001;Marocaine;Carte de résident;18/10/2024;;CDI;TAM;Animateur(rice) commercial(e);Temps plein;3193,00;E;
ANTOINE;Clément;H;01/09/1976;Algérienne;Carte de séjour pluriannuelle;01/05/2005;;CDI;Ouvrier;Agent de sécurité;Temps plein;2593,80;A;
