EXTRACTION PAIE — Établissement principal et agences
Éditée le 07/08/2026 par le service des ressources humaines

Matricule;Établissement;Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Service;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Observations
M01146;Siège;DEGUILHEM;Édouard;H;01/01/1970;Française;;01/01/1999;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;3244,62;A;
M01147;Agence Nord;DELAHAYE;Éliott;H;04/06/1987;Française;;12/08/2017;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;5348,22;I;
M01148;Agence Sud;DELARUE;Gaëlle;F;07/11/1961;Française;;23/03/1992;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;6427,88;J;
M01149;Agence Est;DELAVIGNE;Garance;F;10/04/1978;Française;;06/10/2010;;CDD accroissement;Agent de maîtrise;Contrôle interne;Responsable d’unité;Temps plein;3984,94;G;
M01150;Agence Ouest;DELEPINE;Hortense;F;13/09/1995;Française;;17/05/2017;;CDI;Technicien;Réseau;Chargé(e) d’études;Temps plein;3544,98;E;
M01151;Centre de services;DELORT;Iris;F;16/02/1969;Française;;28/12/1992;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3497,08;B;
M01152;Siège;DEMANGE;Jade;F;19/07/1986;Portugaise;;11/07/2010;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2611,46;C;
M01153;Agence Nord;DENIAU;Joséphine;F;22/12/2003;Espagnole;;22/02/2024;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2289,53;D;
M01154;Agence Sud;DEPREZ;Juliette;F;25/05/1977;Italienne;;05/09/2003;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2874,92;A;
M01155;Agence Est;DERAIN;Léonie;F;28/10/1994;Marocaine;Carte de résident;16/04/2021;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;4794,10;I;
M01156;Agence Ouest;DESBOIS;Gaspard;H;03/03/1968;Algérienne;Carte de séjour pluriannuelle;27/11/1996;;CDI;Agent de maîtrise;Juridique;Animateur(rice) commercial(e);Temps plein;4499,40;F;
M01157;Centre de services;DESCAMPS;Gatien;H;06/08/1985;Tunisienne;Carte de séjour pluriannuelle;10/06/2014;;CDI;Technicien;Contrôle interne;Contrôleur(se) de premier niveau;80 %;3622,12;F;
M01158;Siège;DESFORGES;Ghislain;H;09/01/2002;Roumaine;;21/01/2024;;CDI;Ouvrier;Réseau;Agent de maintenance;Temps plein;2313,96;A;
M01159;Agence Nord;DESJARDINS;Gonzague;H;12/06/1976;Allemande;;04/08/2007;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3101,14;B;
M01160;Agence Sud;DEVILLE;Guilhem;H;15/11/1993;Belge;;15/03/2024;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2682,12;C;
M01161;Agence Est;DEZ;Hilaire;H;18/04/1967;Sénégalaise;Carte de résident;26/10/1989;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3670,22;D;
M01162;Agence Ouest;DIDELOT;Marlène;F;21/09/1984;Ivoirienne;Carte de séjour pluriannuelle;09/05/2007;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;5786,30;H;
M01163;Centre de services;DOMINE;Mélissa;F;24/02/2001;Comorienne;Carte de séjour pluriannuelle;20/12/2024;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;4510,98;I;
M01164;Siège;DONNADIEU;Morgane;F;27/07/1975;Malienne;Carte de résident;03/07/2000;;CDI;Agent de maîtrise;Juridique;Responsable d’unité;Temps plein;4036,12;F;
M01165;Agence Nord;DORMOY;Nolwenn;F;02/12/1992;Turque;Carte de séjour pluriannuelle;14/02/2018;;CDI;Technicien;Contrôle interne;Chargé(e) d’études;Temps plein;3206,68;F;
M01166;Agence Sud;DOUCET;Ondine;F;05/05/1966;Polonaise;;25/09/1993;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;3166,15;A;
M01167;Agence Est;DRUAIS;Perrine;F;08/10/1983;Française;;08/04/2011;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2740,53;B;
M01168;Agence Ouest;DUBREUIL;Prisca;F;11/03/2000;Française;;19/11/2024;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2444,53;C;
M01169;Centre de services;DUCLOS;Rachel;F;14/08/1974;Française;;02/06/2004;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3004,00;D;
M01170;Siège;DUCROS;Roxane;F;17/01/1991;Française;;13/01/2022;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;4898,73;H;
M01171;Agence Nord;DUFFAU;Lubin;H;20/06/1965;Française;;24/08/1997;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;6463,82;I;
M01172;Agence Sud;DUGAST;Marius;H;23/11/1982;Française;;07/03/2004;;CDI;Agent de maîtrise;Juridique;Superviseur(e) back-office;Temps plein;4397,96;F;
M01173;Agence Est;DUMOULIN;Maxence;H;26/04/1999;Française;;18/10/2022;;CDI;Technicien;Contrôle interne;Technicien(ne) des métiers de la banque;Temps plein;3540,04;F;
M01174;Agence Ouest;DUPRAT;Merlin;H;01/09/1973;Française;;01/05/1997;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;3526,74;A;
M01175;Centre de services;DURIEZ;Nathan;H;04/02/1990;Française;;12/12/2015;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2620,66;B;
M01176;Siège;DUTERTRE;Océan;H;07/07/1964;Française;;23/07/1990;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;70 %;3338,16;C;
M01177;Agence Nord;DUVERGER;Yseult;F;10/12/1981;Française;;06/02/2008;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2768,30;D;
M01178;Agence Sud;ESCOFFIER;Adeline;F;13/05/1998;Française;;17/09/2024;;CDD accroissement;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;4665,98;H;
M01179;Agence Est;ESTIENNE;Agathe;F;16/10/1972;Française;;28/04/2001;;CDI;Agent de maîtrise;Systèmes d’information;Responsable d’unité;Temps plein;4155,50;G;
M01180;Agence Ouest;EYMARD;Alexia;F;19/03/1989;Française;;11/11/2019;;CDI;Technicien;Juridique;Chargé(e) d’études;Temps plein;3328,38;E;
M01181;Centre de services;FABREGUE;Alix;F;22/08/1963;Française;;22/06/1994;;CDI;Technicien;Contrôle interne;Contrôleur(se) de premier niveau;Temps plein;4201,88;F;
M01182;Siège;FALGUIERE;Ambre;F;25/01/1980;Française;;05/01/2012;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2869,61;A;
M01183;Agence Nord;FAUCHER;Ana;F;28/06/1997;Française;;16/08/2019;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2729,14;B;
M01184;Agence Sud;FAURY;Anouk;F;03/11/1971;Française;;27/03/1994;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;3418,23;C;
M01185;Agence Est;FAVIER;Timothée;H;06/04/1988;Française;;10/10/2012;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3111,84;D;
M01186;Agence Ouest;FERRIER;Tristan;H;09/09/1962;Française;;21/05/1987;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;6684,62;H;
M01187;Centre de services;FEUILLET;Ulysse;H;12/02/1979;Portugaise;;04/12/2005;;CDI;Agent de maîtrise;Systèmes d’information;Superviseur(e) back-office;Temps plein;4055,78;G;
M01188;Siège;FICHET;Valentin;H;15/07/1996;Espagnole;;15/07/2023;;CDI;Technicien;Juridique;Technicien(ne) des métiers de la banque;Temps plein;3200,28;E;
M01189;Agence Nord;FILIPPI;Wandrille;H;18/12/1970;Italienne;;26/02/1998;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3194,68;D;
M01190;Agence Sud;FLAMENT;Xavier;H;21/05/1987;Marocaine;Carte de séjour pluriannuelle;09/09/2016;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2748,60;A;
M01191;Agence Est;FLORENTIN;Capucine;F;24/10/1961;Algérienne;Carte de résident;20/04/1991;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3323,00;B;
M01192;Agence Ouest;FOLLIOT;Cassandre;F;27/03/1978;Tunisienne;Carte de séjour pluriannuelle;03/11/2009;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2897,38;C;
M01193;Centre de services;FORESTIER;Charlène;F;02/08/1995;Roumaine;;14/06/2024;;CDI;Cadre;Conformité;Responsable conformité;Temps plein;4820,98;K;
M01194;Siège;FOUQUET;Clémence;F;05/01/1969;Allemande;;25/01/1991;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;6524,25;H;
M01195;Agence Nord;FOURCADE;Constance;F;08/06/1986;Belge;;08/08/2009;;CDI;Agent de maîtrise;Systèmes d’information;Animateur(rice) commercial(e);60 %;4066,55;G;
M01196;Agence Sud;FRAISSE;Cyrielle;F;11/11/2003;Sénégalaise;Carte de séjour pluriannuelle;19/03/2024;;CDI;Technicien;Juridique;Contrôleur(se) de premier niveau;Temps plein;3357,88;E;
M01197;Agence Est;FRANCHET;Diane;F;14/04/1977;Ivoirienne;Carte de résident;02/10/2002;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2823,84;D;
M01198;Agence Ouest;FREMONT;Dorothée;F;17/09/1994;Comorienne;Carte de séjour pluriannuelle;13/05/2020;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2398,22;A;
M01199;Centre de services;FRESSE;Anthelme;H;20/02/1968;Malienne;Carte de séjour pluriannuelle;24/12/1995;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3225,86;B;
M01200;Siège;GABRIEL;Armand;H;23/07/1985;Turque;Carte de résident;07/07/2013;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2779,78;C;
M01201;Agence Nord;GACHET;Aubin;H;26/12/2002;Polonaise;;18/02/2024;;CDI;Cadre;Conformité;Responsable conformité;Temps plein;4894,16;K;
M01202;Agence Sud;GALINIER;Augustin;H;01/05/1976;Française;;01/09/2006;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;5881,60;H;
M01203;Agence Est;GALLAND;Basile;H;04/10/1993;Française;;12/04/2024;;CDI;Agent de maîtrise;Systèmes d’information;Responsable d’unité;Temps plein;3545,36;G;
M01204;Agence Ouest;GANDON;Benoît;H;07/03/1967;Française;;23/11/1999;;CDI;Technicien;Juridique;Chargé(e) d’études;Temps plein;4230,52;E;
M01205;Centre de services;GARNAUD;Flavie;F;10/08/1984;Française;;06/06/2006;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3048,15;D;
M01206;Siège;GASTON;Gaëlle;F;13/01/2001;Française;;17/01/2024;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2622,53;A;
M01207;Agence Nord;GATEAU;Garance;F;16/06/1975;Française;;28/08/1999;;CDD accroissement;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3311,61;B;
M01208;Agence Sud;GAUVIN;Hortense;F;19/11/1992;Française;;11/03/2017;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2425,99;C;
M01209;Agence Est;GAZEAU;Iris;F;22/04/1966;Française;;22/10/1992;;CDI;Cadre;Conformité;Responsable conformité;Temps plein;6168,88;K;
M01210;Agence Ouest;GENESTE;Jade;F;25/09/1983;Française;;05/05/2010;;CDI;Agent de maîtrise;Ressources humaines;Animateur(rice) commercial(e);Temps plein;3725,94;F;
M01211;Centre de services;GERBAUD;Joséphine;F;28/02/2000;Française;;16/12/2024;;CDI;Technicien;Systèmes d’information;Contrôleur(se) de premier niveau;Temps plein;3052,88;F;
M01212;Siège;GILLET;Juliette;F;03/07/1974;Française;;27/07/2003;;CDI;Ouvrier;Juridique;Agent de maintenance;Temps plein;2616,82;A;
M01213;Agence Nord;GIRAUDON;Elouan;H;06/12/1991;Française;;10/02/2021;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2636,30;D;
M01214;Agence Sud;GLEIZES;Enzo;H;09/05/1965;Française;;21/09/1996;;CDI;Employé;Réseau;Chargé(e) d’accueil;90 %;3353,80;A;
M01215;Agence Est;GOASDOUE;Erwan;H;12/10/1982;Française;;04/04/2014;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2907,72;B;
M01216;Agence Ouest;GODEFROY;Eudes;H;15/03/1999;Française;;15/11/2021;;CDI;Cadre;Crédit;Ingénieur patrimonial;Temps plein;5206,90;J;
M01217;Centre de services;GOMBERT;Fabrice;H;18/08/1973;Française;;26/06/1996;;CDI;Cadre;Conformité;Responsable conformité;Temps plein;6562,40;K;
M01218;Siège;GONNET;Firmin;H;21/01/1990;Française;;09/01/2014;;CDI;Agent de maîtrise;Ressources humaines;Responsable d’unité;Temps plein;4072,16;F;
M01219;Agence Nord;GOUJON;Florent;H;24/06/1964;Française;;20/08/1989;;CDI;Technicien;Systèmes d’information;Chargé(e) d’études;Temps plein;4733,12;F;
M01220;Agence Sud;GOURDON;Marlène;F;27/11/1981;Française;;03/03/2007;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2717,23;C;
M01221;Agence Est;GOYARD;Mélissa;F;02/04/1998;Française;;14/10/2024;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2317,53;D;
M01222;Agence Ouest;GRANDJEAN;Morgane;F;05/09/1972;Portugaise;;25/05/2000;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2980,69;A;
M01223;Centre de services;GRAVIER;Nolwenn;F;08/02/1989;Espagnole;;08/12/2018;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2555,07;B;
M01224;Siège;GREGOIRE;Ondine;F;11/07/1963;Italienne;;19/07/1993;;CDI;Cadre;Crédit;Ingénieur patrimonial;Temps plein;6273,50;J;
M01225;Agence Nord;GRELIER;Perrine;F;14/12/1980;Marocaine;Carte de séjour pluriannuelle;02/02/2011;;CDI;Cadre;Conformité;Responsable conformité;Temps plein;5407,81;K;
M01226;Agence Sud;GRIVEL;Prisca;F;17/05/1997;Algérienne;Carte de séjour pluriannuelle;13/09/2024;;CDI;Agent de maîtrise;Ressources humaines;Superviseur(e) back-office;Temps plein;3423,28;F;
M01227;Agence Est;GROSJEAN;Rachel;F;20/10/1971;Tunisienne;Carte de résident;24/04/1993;;CDI;Technicien;Systèmes d’information;Technicien(ne) des métiers de la banque;Temps plein;4281,18;F;
M01228;Agence Ouest;GUENIN;Ismaël;H;23/03/1988;Roumaine;;07/11/2011;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;3061,90;C;
M01229;Centre de services;GUIBERT;Jocelyn;H;26/08/1962;Allemande;;18/06/1987;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3752,34;D;
M01230;Siège;GUILLAUD;Joachim;H;01/01/1979;Belge;;01/01/2004;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;3333,32;A;
M01231;Agence Nord;GUINARD;Joris;H;04/06/1996;Sénégalaise;Carte de séjour pluriannuelle;12/08/2022;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2427,24;B;
M01232;Agence Sud;GUYON;Justin;H;07/11/1970;Ivoirienne;Carte de séjour pluriannuelle;23/03/1997;;CDI;Cadre;Crédit;Ingénieur patrimonial;Temps plein;6204,82;J;
M01233;Agence Est;HAMELIN;Kilian;H;10/04/1987;Comorienne;Carte de résident;06/10/2015;;CDI;Agent de maîtrise;Conformité;Responsable d’unité;50 %;3729,98;G;
M01234;Agence Ouest;HARDOUIN;Violaine;F;13/09/1961;Malienne;Carte de séjour pluriannuelle;17/05/1990;;CDI;Technicien;Ressources humaines;Chargé(e) d’études;Temps plein;4208,08;E;
M01235;Centre de services;HAUTIER;Yseult;F;16/02/1978;Turque;Carte de séjour pluriannuelle;28/12/2008;;CDI;Ouvrier;Systèmes d’information;Agent logistique;Temps plein;2524,95;B;
M01236;Siège;HEBRARD;Adeline;F;19/07/1995;Polonaise;;11/07/2024;;CDD accroissement;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2472,53;C;
M01237;Agence Nord;HENAFF;Agathe;F;22/12/1969;Française;;22/02/2001;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3109,77;D;
M01238;Agence Sud;HERBRETEAU;Alexia;F;25/05/1986;Française;;05/09/2008;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2969,30;A;
M01239;Agence Est;HERISSON;Alix;F;28/10/2003;Française;;16/04/2024;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;4866,98;I;
M01240;Agence Ouest;HEUDE;Ambre;F;03/03/1977;Française;;27/11/2001;;CDI;Cadre;Crédit;Ingénieur patrimonial;Temps plein;6066,53;J;
M01241;Centre de services;HOARAU;Ana;F;06/08/1994;Française;;10/06/2019;;CDI;Agent de maîtrise;Conformité;Superviseur(e) back-office;Temps plein;3756,37;G;
M01242;Siège;HOUEL;Octave;H;09/01/1968;Française;;21/01/1994;;CDI;Technicien;Ressources humaines;Technicien(ne) des métiers de la banque;Temps plein;4122,32;E;
M01243;Agence Nord;HUBLOT;Paulin;H;12/06/1985;Française;;04/08/2012;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2729,84;B;
M01244;Agence Sud;HUON;Prosper;H;15/11/2002;Française;;15/03/2024;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2446,12;C;
M01245;Agence Est;IMBAULT;Quirin;H;18/04/1976;Française;;26/10/2005;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3001,26;D;
M01246;Agence Ouest;JACQUIN;Rémi;H;21/09/1993;Française;;09/05/2023;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2555,18;A;
M01247;Centre de services;JALLET;Sacha;H;24/02/1967;Française;;20/12/1998;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;6307,24;I;
M01248;Siège;JAMBON;Blandine;F;27/07/1984;Française;;03/07/2016;;CDI;Cadre;Crédit;Ingénieur patrimonial;Temps plein;5178,96;J;
M01249;Agence Nord;JANIN;Capucine;F;02/12/2001;Française;;14/02/2023;;CDI;Agent de maîtrise;Conformité;Animateur(rice) commercial(e);Temps plein;3481,90;G;
M01250;Agence Sud;JARDIN;Cassandre;F;05/05/1975;Française;;25/09/1998;;CDI;Technicien;Ressources humaines;Contrôleur(se) de premier niveau;Temps plein;4137,68;E;
M01251;Agence Est;JAUFFRET;Charlène;F;08/10/1992;Française;;08/04/2016;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2834,91;B;
M01252;Agence Ouest;JEANNIN;Clémence;F;11/03/1966;Française;;19/11/1991;;CDI;Employé;Juridique;Assistant(e) commercial(e);80 %;3524,00;C;
M01253;Centre de services;JOANNIN;Constance;F;14/08/1983;Française;;02/06/2009;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2638,38;D;
M01254;Siège;JOFFRE;Cyrielle;F;17/01/2000;Française;;13/01/2024;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2290,53;A;
M01255;Agence Nord;JOSSE;Diane;F;20/06/1974;Française;;24/08/2002;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;5711,16;I;
M01256;Agence Sud;JOURNET;Zacharie;H;23/11/1991;Française;;07/03/2020;;CDI;Agent de maîtrise;Crédit;Superviseur(e) back-office;Temps plein;3567,08;F;
M01257;Agence Est;JUGE;Achille;H;26/04/1965;Portugaise;;18/10/1995;;CDI;Technicien;Conformité;Technicien(ne) des métiers de la banque;Temps plein;4242,56;F;
M01258;Agence Ouest;JUSSEAU;Adrien;H;01/09/1982;Espagnole;;01/05/2013;;CDI;Ouvrier;Ressources humaines;Agent de sécurité;Temps plein;2537,74;A;
M01259;Centre de services;KERGOAT;Aimé;H;04/02/1999;Italienne;;12/12/2024;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2601,12;B;
M01260;Siège;LABADIE;Alban;H;07/07/1973;Marocaine;Carte de résident;23/07/1995;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;3426,86;C;

M01261;Agence Nord;LABAT;Aldric;H;10/12/1990;Algérienne;Carte de séjour pluriannuelle;06/02/2013;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2980,78;D;
M01262;Agence Sud;LACAZE;Faustine;F;13/05/1964;Tunisienne;Carte de séjour pluriannuelle;17/09/1988;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;6703,36;H;
M01263;Agence Est;LACOMBE;Flavie;F;16/10/1981;Roumaine;;28/04/2006;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;5837,67;I;
M01264;Agence Ouest;LAFON;Gaëlle;F;19/03/1998;Allemande;;11/11/2024;;CDI;Agent de maîtrise;Crédit;Animateur(rice) commercial(e);Temps plein;3141,28;F;
M01265;Centre de services;LAGARRIGUE;Garance;F;22/08/1972;Belge;;22/06/1999;;CDD accroissement;Technicien;Conformité;Contrôleur(se) de premier niveau;Temps plein;3799,38;F;
M01266;Siège;ALLARD;Hortense;F;25/01/1989;Sénégalaise;Carte de résident;05/01/2017;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2503,99;A;
M01267;Agence Nord;AMIOT;Iris;F;28/06/1963;Ivoirienne;Carte de séjour pluriannuelle;16/08/1992;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3193,08;B;
M01268;Agence Sud;ANDRIEU;Jade;F;03/11/1980;Comorienne;Carte de séjour pluriannuelle;27/03/2010;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2767,46;C;
M01269;Agence Est;ARCHAMBAULT;Joséphine;F;06/04/1997;Malienne;Carte de résident;10/10/2024;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2445,53;D;
M01270;Agence Ouest;AUBIN;Juliette;F;09/09/1971;Turque;Carte de séjour pluriannuelle;21/05/2003;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;5815,79;H;
M01271;Centre de services;AUDIBERT;Casimir;H;12/02/1988;Polonaise;;04/12/2010;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;5740,28;I;
M01272;Siège;BACHELET;Célestin;H;15/07/1962;Française;;15/07/1987;;CDI;Agent de maîtrise;Crédit;Responsable d’unité;Temps plein;4990,02;F;
M01273;Agence Nord;BALLAND;César;H;18/12/1979;Française;;26/02/2003;;CDI;Technicien;Conformité;Chargé(e) d’études;Temps plein;4160,48;F;
M01274;Agence Sud;BARDIN;Corentin;H;21/05/1996;Française;;09/09/2021;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2837,30;A;
M01275;Agence Est;BASTIDE;Cyprien;H;24/10/1970;Française;;20/04/1996;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3554,80;B;
M01276;Agence Ouest;BAZIN;Édouard;H;27/03/1987;Française;;03/11/2014;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2648,72;C;
M01277;Centre de services;BEAUMONT;Maïwenn;F;02/08/1961;Française;;14/06/1989;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3220,85;D;
M01278;Siège;BELLANGER;Marlène;F;05/01/1978;Française;;25/01/2007;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;5482,30;H;
M01279;Agence Nord;BENARD;Mélissa;F;08/06/1995;Française;;08/08/2024;;CDI;Agent de maîtrise;Back-office;Animateur(rice) commercial(e);Temps plein;3296,28;G;
M01280;Agence Sud;BERTHIER;Morgane;F;11/11/1969;Française;;19/03/2000;;CDI;Technicien;Crédit;Contrôleur(se) de premier niveau;Temps plein;3921,08;E;
M01281;Agence Est;BESNARD;Nolwenn;F;14/04/1986;Française;;02/10/2018;;CDI;Technicien;Conformité;Technicien(ne) des métiers de la banque;Temps plein;3362,68;F;
M01282;Agence Ouest;BIDAULT;Ondine;F;17/09/2003;Française;;13/05/2024;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2518,53;A;
M01283;Centre de services;BLANCHET;Perrine;F;20/02/1977;Française;;24/12/2000;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3181,69;B;
M01284;Siège;BLONDEL;Prisca;F;23/07/1994;Française;;07/07/2018;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2756,07;C;
M01285;Agence Nord;BOCQUET;Gabin;H;26/12/1968;Française;;18/02/1993;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3585,98;D;
M01286;Agence Sud;BOISSIER;Gaspard;H;01/05/1985;Française;;01/09/2011;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;5842,70;H;
M01287;Agence Est;BONNEAU;Gatien;H;04/10/2002;Française;;12/04/2024;;CDI;Agent de maîtrise;Back-office;Responsable d’unité;Temps plein;3309,36;G;
M01288;Agence Ouest;BORDES;Ghislain;H;07/03/1976;Française;;23/11/2004;;CDI;Technicien;Crédit;Chargé(e) d’études;Temps plein;3820,72;E;
M01289;Centre de services;BOSSARD;Gonzague;H;10/08/1993;Française;;06/06/2022;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2505,24;D;
M01290;Siège;BOUCHET;Guilhem;H;13/01/1967;Française;;17/01/1997;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;60 %;3222,74;A;
M01291;Agence Nord;BOULAY;Ursule;F;16/06/1984;Française;;28/08/2015;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2660,84;B;
M01292;Agence Sud;BOURDIN;Violaine;F;19/11/2001;Portugaise;;11/03/2024;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2468,53;C;
M01293;Agence Est;BOUSSARD;Yseult;F;22/04/1975;Espagnole;;22/10/1997;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;6141,02;K;
M01294;Agence Ouest;BOUVET;Adeline;F;25/09/1992;Italienne;;05/05/2015;;CDD accroissement;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;5275,33;H;
M01295;Centre de services;BRACONNIER;Agathe;F;28/02/1966;Marocaine;Carte de séjour pluriannuelle;16/12/1990;;CDI;Agent de maîtrise;Back-office;Superviseur(e) back-office;Temps plein;4703,30;G;
M01296;Siège;BREBION;Alexia;F;03/07/1983;Algérienne;Carte de résident;27/07/2008;;CDI;Technicien;Crédit;Technicien(ne) des métiers de la banque;Temps plein;3850,68;E;
M01297;Agence Nord;BRIAULT;Alix;F;06/12/2000;Tunisienne;Carte de séjour pluriannuelle;10/02/2024;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2673,53;D;
M01298;Agence Sud;BRISSON;Ambre;F;09/05/1974;Roumaine;;21/09/2001;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2850,77;A;
